col_0_0_	col_1_0_	col_2_0_
A00001617	260.000000000	3120.000000000
A00001687	260.000000000	3120.000000000
A00001719	260.000000000	3120.000000000
A00001633	260.000000000	3120.000000000
A00001640	260.000000000	3120.000000000
A00001765	260.000000000	3120.000000000
A00001678	260.000000000	3120.000000000
A00001793	260.000000000	3120.000000000
A00001750	260.000000000	3120.000000000
A00001938	260.000000000	3120.000000000
A00001797	260.000000000	3120.000000000
A00002030	260.000000000	3120.000000000
A00001654	260.000000000	3120.000000000
A00002214	260.000000000	3120.000000000
A00002047	260.000000000	3120.000000000
A00002057	260.000000000	3120.000000000
A00001941	260.000000000	3120.000000000
A00002244	260.000000000	3120.000000000
A00002490	260.000000000	3120.000000000
A00002417	260.000000000	3120.000000000
A00002111	260.000000000	3120.000000000
A00002186	260.000000000	3120.000000000
A00002163	260.000000000	3120.000000000
A00002272	260.000000000	3120.000000000
A00002212	260.000000000	3120.000000000
A00002301	260.000000000	3120.000000000
A00002241	260.000000000	3120.000000000
A00002534	260.000000000	3120.000000000
A00002373	260.000000000	3120.000000000
A00002604	260.000000000	3120.000000000
A00002476	260.000000000	3120.000000000
A00001629	260.000000000	3120.000000000
A00001730	260.000000000	3120.000000000
A00001663	260.000000000	3120.000000000
A00001746	260.000000000	3120.000000000
A00001657	260.000000000	3120.000000000
A00001680	260.000000000	3120.000000000
A00001873	260.000000000	3120.000000000
A00001791	260.000000000	3120.000000000
A00001794	260.000000000	3120.000000000
A00001950	260.000000000	3120.000000000
A00001666	260.000000000	3120.000000000
A00002131	260.000000000	3120.000000000
A00001913	260.000000000	3120.000000000
A00002169	260.000000000	3120.000000000
A00002048	260.000000000	3120.000000000
A00001976	260.000000000	3120.000000000
A00001958	260.000000000	3120.000000000
A00002040	260.000000000	3120.000000000
A00002020	260.000000000	3120.000000000
A00002331	260.000000000	3120.000000000
A00002340	260.000000000	3120.000000000
A00001922	260.000000000	3120.000000000
A00002123	260.000000000	3120.000000000
A00002067	260.000000000	3120.000000000
